
   INFO  Server running on [http://127.0.0.1:8001].  

  Press Ctrl+C to stop the server

  2026-09-10 19:44:29 /up ...................................................................................... ~ 1s
  2026-09-11 11:05:42 /api/notifications ................................................................. ~ 542.32ms
  2026-09-11 11:05:42 /api/settings ............................................................................ ~ 1s
  2026-09-11 11:05:43 /api/dashboard ..................................................................... ~ 561.55ms
  2026-09-11 11:05:46 /api/auth/login .................................................................... ~ 513.32ms
  2026-09-11 11:05:54 /api/auth/login .................................................................... ~ 520.30ms
  2026-09-11 11:05:54 /api/settings ........................................................................ ~ 1.14ms
  2026-09-11 11:05:55 /api/notifications ................................................................. ~ 540.07ms
  2026-09-11 11:05:55 /api/dashboard ..................................................................... ~ 586.42ms
  2026-09-11 11:06:06 /api/notifications ................................................................. ~ 505.73ms
  2026-09-11 11:06:19 /api/server-info ......................................................................... ~ 1s
  2026-09-11 11:06:19 /api/qr/table-links ...................................................................... ~ 1s
  2026-09-11 11:06:29 /api/qr/table-links ................................................................. ~ 13.42ms
  2026-09-11 11:06:29 /api/server-info ................................................................... ~ 525.04ms
  2026-09-11 11:06:39 /api/server-info ......................................................................... ~ 7s
  2026-09-11 11:06:39 /api/qr/table-links ...................................................................... ~ 8s
  2026-09-11 11:06:50 /api/qr/table-links ...................................................................... ~ 1s
  2026-09-11 11:06:50 /api/server-info ......................................................................... ~ 2s
  2026-09-11 11:06:55 /up ................................................................................. ~ 14.10ms
  2026-09-11 11:06:55 /api/notifications ....................................................................... ~ 2s
  2026-09-11 11:07:00 /api/qr/table-links ...................................................................... ~ 1s
  2026-09-11 11:07:00 /api/server-info ......................................................................... ~ 1s
  2026-09-11 11:07:01 /api/notifications ................................................................. ~ 517.69ms
  2026-09-11 11:07:09 /up .................................................................................. ~ 0.47ms
  2026-09-11 11:07:10 /api/qr/table-links .................................................................. ~ 0.50ms
  2026-09-11 11:07:10 /api/server-info ................................................................... ~ 512.88ms
  2026-09-11 11:07:20 /api/qr/table-links ...................................................................... ~ 1s
  2026-09-11 11:07:21 /api/server-info ......................................................................... ~ 1s
  2026-09-11 11:07:30 /api/qr/table-links ...................................................................... ~ 1s
  2026-09-11 11:07:31 /api/server-info ......................................................................... ~ 1s
  2026-09-11 11:07:40 /api/qr/table-links ...................................................................... ~ 1s
  2026-09-11 11:07:41 /api/server-info ......................................................................... ~ 1s
  2026-09-11 11:07:49 /api/notifications .................................................................. ~ 16.23ms
  2026-09-11 11:07:50 /api/qr/table-links ...................................................................... ~ 1s
  2026-09-11 11:07:50 /api/server-info ......................................................................... ~ 2s
  2026-09-11 11:07:55 /api/notifications ................................................................. ~ 522.26ms
  2026-09-11 11:08:00 /api/qr/table-links ...................................................................... ~ 1s
  2026-09-11 11:08:00 /api/server-info ......................................................................... ~ 2s
  2026-09-11 11:08:10 /api/qr/table-links ...................................................................... ~ 1s
  2026-09-11 11:08:10 /api/server-info ......................................................................... ~ 2s
  2026-09-11 11:08:20 /api/server-info ......................................................................... ~ 1s
  2026-09-11 11:08:20 /api/qr/table-links ...................................................................... ~ 3s
  2026-09-11 11:08:30 /api/qr/table-links ...................................................................... ~ 1s
  2026-09-11 11:08:31 /api/server-info ......................................................................... ~ 1s
  2026-09-11 11:08:40 /api/qr/table-links ................................................................ ~ 524.18ms
  2026-09-11 11:08:40 /api/server-info ......................................................................... ~ 1s
  2026-09-11 11:08:50 /api/qr/table-links ...................................................................... ~ 2s
  2026-09-11 11:08:50 /api/server-info ......................................................................... ~ 3s
  2026-09-11 11:08:55 /api/notifications ................................................................. ~ 527.22ms
  2026-09-11 11:09:42 /api/qr/table-links ...................................................................... ~ 1s
  2026-09-11 11:09:42 /api/server-info ......................................................................... ~ 2s
  2026-09-11 11:09:55 /api/notifications ................................................................... ~ 0.35ms
  2026-09-11 11:10:42 /api/qr/table-links ...................................................................... ~ 1s
  2026-09-11 11:10:42 /api/server-info ......................................................................... ~ 3s
  2026-09-11 11:10:55 /api/notifications ................................................................. ~ 517.57ms
  2026-09-11 11:11:42 /api/qr/table-links ...................................................................... ~ 1s
  2026-09-11 11:11:42 /api/server-info ......................................................................... ~ 2s
  2026-09-11 11:11:55 /api/notifications ................................................................... ~ 2.60ms
  2026-09-11 11:12:42 /api/qr/table-links ...................................................................... ~ 1s
  2026-09-11 11:12:42 /api/server-info ......................................................................... ~ 2s
  2026-09-11 11:13:42 /api/qr/table-links ...................................................................... ~ 1s
  2026-09-11 11:13:43 /api/server-info ......................................................................... ~ 1s
  2026-09-11 11:13:43 /api/notifications ....................................................................... ~ 1s
  2026-09-11 11:14:42 /api/qr/table-links ...................................................................... ~ 1s
  2026-09-11 11:14:42 /api/server-info ......................................................................... ~ 2s
  2026-09-11 11:14:43 /api/notifications ....................................................................... ~ 1s
  2026-09-11 11:15:42 /api/qr/table-links ...................................................................... ~ 1s
  2026-09-11 11:15:42 /api/server-info ......................................................................... ~ 2s
  2026-09-11 11:15:42 /api/notifications ....................................................................... ~ 3s
  2026-09-11 11:16:42 /api/qr/table-links ...................................................................... ~ 3s
  2026-09-11 11:16:42 /api/server-info ......................................................................... ~ 5s
  2026-09-11 11:16:42 /api/notifications ....................................................................... ~ 5s
  2026-09-11 11:17:42 /api/qr/table-links ...................................................................... ~ 1s
  2026-09-11 11:17:42 /api/server-info ......................................................................... ~ 2s
  2026-09-11 11:17:42 /api/notifications ....................................................................... ~ 2s
  2026-09-11 11:18:24 /api/notifications ................................................................. ~ 521.92ms
  2026-09-11 11:18:24 /api/qr/table-links ...................................................................... ~ 1s
  2026-09-11 11:18:24 /api/server-info ......................................................................... ~ 2s
  2026-09-11 11:18:25 /api/notifications ....................................................................... ~ 1s
  2026-09-11 11:18:29 /api/qr/table-links ...................................................................... ~ 1s
  2026-09-11 11:18:31 /api/server-info ......................................................................... ~ 1s
  2026-09-11 11:18:39 /api/qr/table-links ...................................................................... ~ 1s
  2026-09-11 11:18:39 /api/server-info ......................................................................... ~ 1s
  2026-09-11 11:18:49 /api/qr/table-links ...................................................................... ~ 1s
  2026-09-11 11:18:49 /api/server-info ......................................................................... ~ 2s
  2026-09-11 11:18:51 /menu.html?table=14&qr=12AP8WPXIy4ahIXEryg35M ............................................ ~ 1s
  2026-09-11 11:18:52 /fonts/fonts.css ..................................................................... ~ 3.86ms
  2026-09-11 11:18:53 /api/table-status/14 ................................................................. ~ 0.70ms
  2026-09-11 11:18:53 /fonts/nuFiD-vYSZviVYUb_rj3ij__anPXDTzYgA.woff2 ...................................... ~ 7.05ms
  2026-09-11 11:18:53 /api/menu .......................................................................... ~ 552.95ms
  2026-09-11 11:18:53 /fonts/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7.woff2 .................................. ~ 564.73ms
  2026-09-11 11:18:53 /welcome-bg.jpg .................................................................... ~ 569.55ms
  2026-09-11 11:18:54 /api/notifications ................................................................. ~ 523.11ms
  2026-09-11 11:18:55 /storage/menu-items/thumbnails/coca_cola_original_taste.webp ......................... ~ 0.66ms
  2026-09-11 11:18:55 /storage/menu-items/thumbnails/soda_water.webp ....................................... ~ 2.59ms
  2026-09-11 11:18:55 /storage/menu-items/thumbnails/coca_cola_zero_sugar.webp ............................ ~ 10.44ms
  2026-09-11 11:18:55 /menu-sw.js ......................................................................... ~ 12.28ms
  2026-09-11 11:18:55 /favicon.ico ......................................................................... ~ 0.76ms
  2026-09-11 11:18:55 /storage/menu-items/thumbnails/royal_tru_orange.webp ................................. ~ 0.45ms
  2026-09-11 11:18:55 /storage/menu-items/thumbnails/tonic_water.webp ...................................... ~ 1.51ms
  2026-09-11 11:18:55 /storage/menu-items/thumbnails/sprite.webp ........................................... ~ 0.45ms
  2026-09-11 11:18:55 /storage/menu-items/thumbnails/missin_you.webp ....................................... ~ 0.87ms
  2026-09-11 11:18:55 /storage/menu-items/thumbnails/the_hungry_caveman.webp ............................... ~ 0.58ms
  2026-09-11 11:18:55 /storage/menu-items/thumbnails/bento_cakes.webp ...................................... ~ 3.36ms
  2026-09-11 11:18:55 /storage/menu-items/thumbnails/bluebrry_cheesecake.webp .............................. ~ 5.21ms
  2026-09-11 11:18:55 /storage/menu-items/thumbnails/british_gentlemen.webp ................................ ~ 4.55ms
  2026-09-11 11:18:55 /storage/menu-items/thumbnails/cinnamon_roll.webp .................................... ~ 0.42ms
  2026-09-11 11:18:55 /fonts/fonts.css ..................................................................... ~ 0.25ms
  2026-09-11 11:18:55 /menu.html ........................................................................... ~ 0.16ms
  2026-09-11 11:18:55 /storage/menu-items/thumbnails/n_y_cheesecake.webp ................................... ~ 0.37ms
  2026-09-11 11:18:55 /storage/menu-items/thumbnails/classic_croissant.webp ................................ ~ 0.17ms
  2026-09-11 11:18:56 /storage/menu-items/thumbnails/pain_au_chocolait.webp ................................ ~ 0.39ms
  2026-09-11 11:18:56 /storage/menu-items/thumbnails/portuguese_egg_tart.webp .............................. ~ 0.17ms
  2026-09-11 11:18:56 /storage/menu-items/thumbnails/tiramisu_cake.webp .................................. ~ 511.03ms
  2026-09-11 11:18:56 /storage/menu-items/thumbnails/sultans_time.webp ..................................... ~ 0.75ms
  2026-09-11 11:18:56 /storage/menu-items/thumbnails/g_i_joes.webp ......................................... ~ 1.34ms
